# Halton-MaskGIT — large-384 / layer-output cache / bfloat16 sweep
#
# Model      : ImageNet_384_large.pth (hidden=1024/24L/16H, 480M)
# Method     : HALTON_LAYER_CACHE=1 (每层缓存整层输出; partial 步只重算 active
#              token, Q 取 active / K/V 取全部, FFN 只算 active; inactive 位置沿用
#              缓存的整层输出, 缓存原地更新)。ffn/attn cache 均关闭。
# Sampler    : halton, step=32, cfg_w=0.5, sm_temp=1.0, sm_temp_min=1.0,
#              temp_warmup=1, sched_pow=2, top_k=-1
# dtype      : bfloat16
# GPUs       : 4 (DDP), global_bsize=32
# num_images : 50000
# seed       : 42
# ref stats  : saved_networks/ImageNet_256_train_stats.pt
# step gate  : partial_update active in halton steps 5..30 (前 5 步/最后 1 步全量)
# layer gate : 0..23 (全 24 层)
# eval cmd   : bash launch/run_layercache_bf16_sweep.sh large
#
# config 说明:
#   baseline  = partial_update 关闭 (全 token 更新), FID / latency 的分母
#   N<k>      = 每 k 个 gated step 全量刷新一次 (N1 每个 gated step 都刷, 计算量 == baseline)
#   norefresh = 完全不刷新 (纯 partial)
#
# latency 见 results/latency_large384_layercache_bf16.csv
#   (单卡 A6000, batch 8, transformer-only, 与本表同 cfg_w / 同 layer gate)
#
# columns: config  FID  IS  runtime  notes
# ------------------------------------------------------------
baseline       2.5527    254.955    2:39:51   reference (partial_update=False)
N1             2.5527    254.955    2:40:01   every 1 gated steps
N2             2.7126    251.3603   2:03:51   every 2 gated steps
N3             2.9366    244.3023   1:52:16   every 3 gated steps
N4             3.1709    239.2052   1:46:44   every 4 gated steps
N5             3.4576    233.6749   1:44:05   every 5 gated steps
N6             3.8222    226.9064   1:40:57   every 6 gated steps
norefresh      10.7181   154.8647   1:27:00   0/26 refresh (pure partial)

# ==== SUMMARY (FID + latency) ====
#
# dFID      = FID - baseline FID
# spd_vit   = transformer-only 加速比   (单卡 A6000 / batch 8 / bf16)
# spd_e2e   = 端到端加速比 (含 VQGAN decode 与采样器开销, 同上环境)
# spd_eval  = 本表 runtime 之比 (4 GPU DDP + Inception 特征提取, 仅供交叉验证)
# theo      = 理论 MACs 比
#
# config          FID     dFID   spd_vit   spd_e2e  spd_eval     theo
# baseline     2.5527  +0.0000    1.000x    1.000x    1.000x   1.000x
# N1           2.5527  +0.0000    1.000x    1.000x    0.999x   1.000x
# N2           2.7126  +0.1599    1.335x    1.296x    1.291x   1.447x
# N3           2.9366  +0.3839    1.491x    1.427x    1.424x   1.679x
# N4           3.1709  +0.6182    1.584x    1.503x    1.498x   1.826x
# N5           3.4576  +0.9049    1.636x    1.545x    1.536x   1.911x
# N6           3.8222  +1.2695    1.687x    1.587x    1.583x   2.000x
# norefresh   10.7181  +8.1654    2.017x    1.846x    1.837x   2.624x
