"# {""gpu"": ""NVIDIA RTX A6000"", ""torch"": ""2.1.0"", ""cuda"": ""11.8"", ""driver"": ""535.129.03"", ""python"": ""3.8.5"", ""tf32_matmul"": false, ""tf32_cudnn"": false, ""compile"": false, ""cfg_w"": 0.5, ""vit_size"": ""large"", ""img_size"": 384}"
"# warmup=1 repeat=4 round-robin, median over 4 runs"
method,refresh_n,step,batch,dtype,gate,total_ms_img,total_iqr_ms_img,vit_ms_img,vit_iqr_ms_img,decode_ms_img,other_ms_img,img_per_s,speedup_total,speedup_vit,theo_speedup,theo_gmacs_img,peak_mb,n
baseline,0,32,1,bfloat16,,1008.5876546800137,1.328442245721817,914.546558380127,1.0772838592529297,37.393375396728516,56.64772090315819,0.9914854652045705,1.0,1.0,1.0,12827.325628416,3487.0478515625,4
layer,2,32,1,bfloat16,0..23,1054.8558495938778,3.600647673010826,960.636926651001,2.865121841430664,36.74470329284668,57.474219650030136,0.9479968285571935,0.9561378979585907,0.9520210320963243,1.44686204555253,8865.617608704,3487.0478515625,4
baseline,0,32,8,bfloat16,,757.8934206394479,7.939072325825691,688.1990823745728,7.438861846923828,33.35916328430176,36.335174980573356,1.3194467358699098,1.0,1.0,1.0,12827.325628416,5507.41943359375,4
layer,2,32,8,bfloat16,0..23,589.7650563856587,3.783091204240918,519.9500374794006,2.998077392578125,33.353532791137695,36.46148611512035,1.6955904544912217,1.285076849557948,1.3235869463743193,1.44686204555253,8865.617608704,6372.91943359375,4
baseline,0,32,16,bfloat16,,684.6018839860335,0.0,620.3850078582764,0.0,29.668928146362305,34.54794798139483,1.4607029623955883,1.0,1.0,1.0,12827.325628416,12859.41552734375,3
ffn,2,32,16,bfloat16,3..21,612.66557010822,0.0,548.2627048492432,0.0,29.70150375366211,34.70136150531471,1.6322118440952411,1.11741530353192,1.131546979889622,1.213287948191909,10572.36713472,12859.41552734375,3
attn,2,32,16,bfloat16,3..21,576.9154106965289,0.0,512.4054279327393,0.0,29.658496856689453,34.85148590710014,1.7333563663911618,1.1866590340505747,1.2107307495964135,1.323636443717627,9690.973446144,13725.91552734375,3
layer,2,32,16,bfloat16,0..23,531.5353192854673,0.0,467.074342250824,0.0,29.664512634277344,34.79646440036595,1.8813425255433276,1.2879706374100044,1.3282361109125598,1.44686204555253,8865.617608704,14591.41552734375,3
baseline,0,32,32,bfloat16,,661.6523913689889,0.0,597.5073013305664,0.0,29.85759925842285,34.287490779999644,1.5113676199838928,1.0,1.0,1.0,12827.325628416,23529.65771484375,3
ffn,2,32,32,bfloat16,3..21,590.1230599847622,0.0,525.9343271255493,0.0,29.83510398864746,34.353628870565444,1.6945618088976584,1.1212108731796953,1.136087284121942,1.213287948191909,10572.36713472,23528.65771484375,3
attn,2,32,32,bfloat16,3..21,557.7478150371462,0.0,493.49356269836426,0.0,29.849151611328125,34.40510072745383,1.7929249977131683,1.1862931122821567,1.210770203492559,1.323636443717627,9690.973446144,25259.65771484375,3
layer,2,32,32,bfloat16,0..23,513.1382982362993,0.0,449.06216859817505,0.0,29.8286075592041,34.247522078920156,1.9487923693029472,1.2894231314309328,1.3305669974288603,1.44686204555253,8865.617608704,26992.09521484375,3
