"# {""gpu"": ""NVIDIA RTX A6000"", ""torch"": ""2.1.0"", ""cuda"": ""11.8"", ""driver"": ""535.129.03"", ""python"": ""3.8.5"", ""tf32_matmul"": false, ""tf32_cudnn"": false, ""compile"": false, ""cfg_w"": 0.5, ""vit_size"": ""large"", ""img_size"": 384}"
"# warmup=1 repeat=4 round-robin, median over 4 runs"
method,refresh_n,step,batch,dtype,gate,total_ms_img,total_iqr_ms_img,vit_ms_img,vit_iqr_ms_img,decode_ms_img,other_ms_img,img_per_s,speedup_total,speedup_vit,theo_speedup,theo_gmacs_img,peak_mb,n
baseline,0,32,1,float32,,2243.0939003825188,3.1426940113306046,2115.2147216796875,3.1509780883789062,39.47110366821289,88.40807503461838,0.44581281230779873,1.0,1.0,1.0,12827.325628416,3919.7978515625,4
ffn,2,32,1,float32,3..21,1948.21781758219,1.4994088560342789,1819.3745231628418,1.7428054809570312,39.598079681396484,89.24521473795176,0.5132896285904195,1.1513568350207786,1.1626054420079217,1.213287948191909,10572.36713472,3919.7978515625,4
attn,2,32,1,float32,3..21,1813.502280972898,0.8518807590007782,1685.2543964385986,1.1415634155273438,39.45369529724121,88.79418923705816,0.5514192126979435,1.2368850725564877,1.255130813573139,1.323636443717627,9690.973446144,2837.912109375,4
layer,2,32,1,float32,0..23,1708.8291123509407,1.767897978425026,1580.0467748641968,1.3742828369140625,39.29753494262695,89.48480254411697,0.5851960226872767,1.3126496290179404,1.3387038632837231,1.44686204555253,8865.617608704,2837.912109375,4
baseline,0,32,8,float32,,2009.979970753193,3.082597628235817,1908.636796951294,3.3038482666015625,33.67647933959961,67.66669446229935,0.4975173954719924,1.0,1.0,1.0,12827.325628416,6516.20458984375,4
ffn,2,32,8,float32,3..21,1713.040625443682,2.5938996113836765,1611.5870628356934,2.494709014892578,33.638654708862305,67.81490789912641,0.5837573173379921,1.1733405156299797,1.1843212451661917,1.213287948191909,10572.36713472,6516.20458984375,4
attn,2,32,8,float32,3..21,1569.7599234990776,2.854436170309782,1468.4834461212158,2.852081298828125,33.58368110656738,67.69279627129436,0.6370400881243976,1.280437817696888,1.299733273802084,1.323636443717627,9690.973446144,7381.70458984375,4
layer,2,32,8,float32,0..23,1435.1188355358317,2.252863720059395,1333.8369960784912,2.157052993774414,33.603904724121094,67.67793473321944,0.6968064074126858,1.4005669223919877,1.4309370654455726,1.44686204555253,8865.617608704,7381.70458984375,4
baseline,0,32,16,float32,,2046.9305547885597,0.0,1950.7505226135254,0.0,29.99839973449707,66.18163244053721,0.48853635882302626,1.0,1.0,1.0,12827.325628416,14878.19677734375,3
ffn,2,32,16,float32,3..21,1740.287697291933,0.0,1644.2002410888672,0.0,29.992319107055664,66.09513709601015,0.5746176345187656,1.1762023934167865,1.1864433989631615,1.213287948191909,10572.36713472,14877.98583984375,3
attn,2,32,16,float32,3..21,1593.3068339945748,0.0,1496.617977142334,0.0,30.042560577392578,66.64629627484828,0.6276255010423215,1.2847058150480068,1.3034391891632353,1.323636443717627,9690.973446144,16609.98583984375,3
layer,2,32,16,float32,0..23,1456.0775009449571,0.0,1359.934323310852,0.0,30.05772590637207,66.08545172773302,0.6867766306058747,1.4057840695019008,1.4344446560215434,1.44686204555253,8865.617608704,16609.98583984375,3
baseline,0,32,32,float32,,2049.9519776785746,0.0,1954.1784973144531,0.0,29.849597930908203,65.9238824332133,0.48781630540069,1.0,1.0,1.0,12827.325628416,27565.79833984375,3
ffn,2,32,32,float32,3..21,1741.2464680382982,0.0,1645.4407539367676,0.0,29.837343215942383,65.96837088558823,0.5743012367035023,1.1772899559635956,1.1876322454266561,1.213287948191909,10572.36713472,27565.79833984375,3
attn,2,32,32,float32,3..21,1593.5135034378618,0.0,1497.710693359375,0.0,29.919647216796875,65.88316286168993,0.62754410166126,1.2864352722810242,1.3047770213426317,1.323636443717627,9690.973446144,31028.58740234375,3
layer,2,32,32,float32,0..23,1454.3727636919357,0.0,1358.7133932113647,0.0,29.842912673950195,65.81645780662075,0.6875816331031206,1.409509328595206,1.4382565941266587,1.44686204555253,8865.617608704,31027.58740234375,3
